Transcription,Layer A_dhrithi,Layer B_dhrithi,Target_dhrithi,Span_dhrithi,Confidence_dhrithi,Comments_dhrithi,Unnamed: 7,Layer A_lavanya,Layer B_lavanya,Target_lavanya,Span_lavanya,Confidence_lavanya,Comments_lavanya,Layer_A_Match,Layer_B_Match
"Pre-written notes, props, or contact with campaign staff are not permitted during the debate. By accepting our invitation to debate, both candidates and their campaigns agreed to accept these rules.",S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
"TAPPER: Now, please welcome the 46th of the United States, Joe Biden.",S,,,,1,,1,S,,,,1,,TRUE,FALSE
"BIDEN: Folks, how are you? Good to be here. Thank you.","GR,THK",,,,1,,,GR,,,,1,,FALSE,FALSE
"TAPPER: And please welcome the 45th president of the United States, Donald Trump.",S,,,,1,,1,GR,,,,1,,FALSE,FALSE
"Gentlemen, thanks so much for being here.",THK,,,,1,,1,THK,,,,1,,TRUE,FALSE
"Let's begin the debate. And let's start with the issue that voters consistently say is their top concern, the economy.",S,,,,1,,1,S,,,,1,,TRUE,FALSE
"President Biden, inflation has slowed, but prices remain high. Since you took office, the price of essentials has increased. For example, a basket of groceries that cost $100, then, now costs more than $120. And typical home prices have jumped more than 30 percent. What do you say to voters who feel they are worse off under your presidency than they were under President Trump?",Q-W,,,,1,,1,Q-W,,,,1,,TRUE,FALSE
"BIDEN: We've got to take a look at what I was left when I became president, what Mr. Trump left me.",ANS,ATTR,TRUMP,ATTR START,1,,1,ANS,ATTR,Trump,ATTR start,1,,TRUE,TRUE
"We had an economy that was in freefall. The pandemic was so badly handled. Many people were dying. All he said was it's not that serious, just inject a little bleach in your arm. You'll be all right.",CH,ATTR,TRUMP,ATTR END,1,,,"ANS, CH",ATTR,Trump,ATTR end,1,,TRUE,TRUE
The economy collapsed. There were no jobs. The unemployment rate rose to 15 percent. It was terrible.,S-Inform,AF,,,1,,1,S-Inform,AF,,,1,,TRUE,TRUE
"And so, what we had to do is try to put things back together again. And that's exactly what we began to do. We created 15,000 new jobs. We brought out in a position where we have 800,000 new manufacturing jobs.",S-Inform,AP,,,1,,1,S-Inform,AP,,,1,,TRUE,TRUE
But there's more to be done. There's more to be done. Working-class people are still in trouble.,S-Inform,AE,,AE START,1,,1,S-Inform,AE,,AE start,1,,TRUE,TRUE
"I come from Scranton, Pennsylvania. I come of household where the kitchen table – if things weren't able to be met during the month, was a problem. Price of eggs, the price of gas, the price of housing, the price of a whole range of things.",S-Inform,AE,,AE END,1,,1,S-Inform,AE,,AE end,1,,TRUE,TRUE
"That's why I'm working so hard to make sure I deal with those problems, and we're going to make sure that we have reduced the price of housing. We're going to make sure we build 2 million new units. We're going to make sure we cap rents, so corporate greed can't take over.","S-Inform,CH",IP,,,1,,1,"S-Inform, CH","IP, UF",,,,,FALSE,TRUE
The combination of what I was left with and corporate greed are the reason why we're in this problem right now.,CH,PB,,,1,,1,CH,PB,,Trump,1,,TRUE,TRUE
"In addition to that, we're in a situation where if you had to take a look at all that was done at his administration, he didn't do much at all. By the time he left, there's – things were in chaos, literally chaos.",S-Inform,"ATTR,PER",,,1,,1,S-Inform,"ATTR, PER",,Trump,1,,TRUE,FALSE
"And so we put things back together. We created, as I said, those jobs. We made sure we had a situation where we now – we brought down the price of prescription drugs, which is a major issue for many people, to $15 for – for an insulin shot, as opposed to $400. No senior has to pay more than $200 for any drug, all the drugs they can include (ph) beginning next year.",S-Inform,"AP,UF",,,1,,1,S-Inform,"AP, UF",,,1,,TRUE,FALSE
"And the situation is making – and we're going to make that available to everybody, to all Americans. So we're working to bring down the price of – around the kitchen table. And that's what we're going to get done.",S-Inform,"AP,UF,APAT",,,1,,1,S-Inform,"AP, UF, APAT",,,1,,TRUE,FALSE
TAPPER: Thank you.,THK,,,,1,,1,THK,,,,1,,TRUE,FALSE
TAPPER: Thank you.,THK,,,,1,,1,THK,,,,,,TRUE,FALSE
President Trump?,TG,,,,1,,1,TG,,,,1,,TRUE,FALSE
President Trump?,TG,,,,1,,1,TG,,,,1,,TRUE,FALSE
President Trump?,TG,,,,1,,1,TG,,,,1,,TRUE,FALSE
TRUMP: We had the greatest economy in the history of our country. We have never done so well. Every – everybody was amazed by it. Other countries were copying us.,ANS,"AP,APAT",,AP Start,1,,1,ANS,"AP, APAT",,AP start,1,,TRUE,FALSE
"We got hit with COVID. And when we did, we spent the money necessary so we wouldn't end up in a Great Depression, the likes of which we had in 1929. By the time we finished – so we did a great job. We got a lot of credit for the economy, a lot of credit for the military, and no wars and so many other things. Everything was rocking good.",S-Inform,AP,,AP End,1,,1,S-Inform,AP,,AP end,,,TRUE,TRUE
"But the thing we never got the credit for, and we should have, is getting us out of that COVID mess. He created mandates – that was a disaster for our country.",S,ATTR,,,1,,,S,,,,,,TRUE,FALSE
"But other than that, we had – we had given them back a – a country where the stock market actually was higher than pre-COVID. And nobody thought that was even possible. The only jobs he created are for illegal immigrants and bounce-back jobs, they're bounced back from the COVID.",S-Inform,"AP,IT",Biden,,1,,1,S-Inform,"AP, IT",Biden,,,,TRUE,FALSE
He has not done a good job. He has done a poor job. And inflation's killing our country. It is absolutely killing us.,S-Inform,ATTR,Biden,,1,,1,S-Inform,ATTR,Biden,,1,,TRUE,TRUE
TAPPER: Thank you.,THK,,,,1,,1,THK,,,,1,,TRUE,FALSE
TAPPER: Thank you.,THK,,,,1,,1,THK,,,,,,TRUE,FALSE
President Biden?,TG,,,,1,,1,TG,,,,,,TRUE,FALSE
President Biden?,TG,,,,1,,1,TG,,,,1,,TRUE,FALSE
President Biden?,TG,,,,1,,1,TG,,,,1,,TRUE,FALSE
"BIDEN: Well, look, the greatest economy in the world, he's the only one who thinks that, I think. I don't know anybody else who thinks it was great – he had the greatest economy in the world.",ANS,"ATTR, PER",TRUMP,,1,,1,ANS,"PER, ATTR",Trump,,1,,TRUE,TRUE
"And, you know, the fact of the matter is that we found ourselves in a situation where his economy, he rewarded the wealthy. He had the largest tax cut in American history, $2 trillion. He raised the deficit larger than any president has in any one term. He's the only president other than Herbert Hoover who has lost more jobs than he had when he began, since Herbert Hoover. The idea that he did something that was significant.",CH,"PER,ATTR,",TRUMP,,1,,,CH,"PER, PB, ATTR",Trump,,1,,TRUE,FALSE
"And the military, you know, when he was president, they were still killing people in Afghanistan. And he didn't do anything about that. When he was president, we were still finding ourselves in a position where you had a notion that we were this safe country. The truth is, I'm the only president this century that doesn't have any this – this decade, that doesn't have any troops dying anywhere in the world, like he did.",CH,"AP,PER",TRUMP,,0.9,,1,CH,"AP, PER",Trump,,1,,TRUE,FALSE
"TAPPER: President Trump, I want to follow up, if I can, you want –","TT,MS",,,,1,,1,"TT, MS",,,,1,,FALSE,FALSE
[crosstalk],,,,,,,,,,,,,,FALSE,FALSE
[crosstalk],,,,,,,,,,,,1,,FALSE,FALSE
[crosstalk],,,,,,,,,,,,1,,FALSE,FALSE
TRUMP: Am I allowed to respond to him?,"T-REQ,YNQ",,,,1,,1,"T-Req, Q-YN",,,,1,,FALSE,FALSE
"TAPPER: Well, I'm going to ask you a follow-up. You can do whatever you want with the minute that we give you. I want to follow up. You want to impose a 10 percent tariff on all goods coming into the U.S. How will you ensure that that doesn't drive prices even higher?","Q-OQ,TG",,,,1,,1,"TG, Q-OQ",,,,1,,FALSE,FALSE
"TRUMP: It's not going to drive them higher. It's just going to cause countries that have been ripping us off for years, like China – and many others, in all fairness to China – it's going to just force them to pay us a lot of money, reduce our deficit tremendously, and give us a lot of power for other things.",ANS,"AE,ATTR",,,1,,1,ANS,"AE, ATTR",,,1,,TRUE,FALSE
But he – he made a statement. The only thing he was right about is I gave you the largest tax cut in history. I also gave you the largest regulation cut in history. And that's why we had all the jobs. And the jobs went down and then they bounced back and he's taking credit for bounce-back jobs. You can't do that.,"S-Inform,AGR","AP,ATTR,IT",Biden,ATTR Start,1,,1,"S-Inform, AGR","AP, ATTR, IT",Biden,ATTR start,1,,FALSE,FALSE
"He also said he inherited 9 percent inflation. No, he inherited almost no inflation, and it stayed that way for 14 months. And then it blew up under his leadership because they spent money like a bunch of people that didn't know what they were doing. And they don't know what they were doing. It was the worst – probably the worst administration in history. There's never been.",S-Inform,"ATTR, PER,SE",Biden and opponent group,,1,,1,S-Inform,"ATTR, SE, PER",Biden and opponent group,,1,,TRUE,TRUE
"And as far as Afghanistan is concerned, I was getting out of Afghanistan, but we were getting out with dignity, with strength, with power. He got out, it was the most embarrassing day in the history of our country's life.","S-Inform,CH","ATTR,ATTR,  IT",Biden,ATTR End,1,,1,"S-Inform, CH","PER, ATTR, IT",Biden,ATTR end,1,,FALSE,FALSE
"TAPPER: President Trump, over the last eight years, under both of your administrations, the national debt soared to record highs. And according to a new non-partisan analysis, President Trump, your administration approved $8.4 trillion in new debt.",S-Inform,,,,1,,1,S-Inform,,,,1,,FALSE,FALSE
"While so far, President Biden, you've approved $4.3 trillion in new debt.",S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
"So former President Trump, many of the tax cuts that you signed into law are set to expire next year. You want to extend them and go even further, you say. With the U.S. facing trillion-dollar deficits and record debt, why should top earners and corporations pay even less in taxes than they do now?","Q-OQ,CH",,,,1,,1,"Q-OQ, CH",,,,1,,FALSE,FALSE
"TRUMP: Because the tax cuts spurred the greatest economy that we've ever seen just prior to COVID, and even after COVID. It was so strong that we were able to get through COVID much better than just about any other country. But we spurred – that tax spurred. Now, when we cut the taxes, as example, the corporate tax was cut down to 21 percent from 39 percent, plus beyond that, we took in more revenue with much less tax and companies were bringing back trillions of dollars back into our country.",ANS,,,,1,,1,ANS,,,,1,,TRUE,FALSE
"The country was going like never before. And we were ready to start paying down debt. We were ready to start using the liquid gold right under our feet, the oil and gas right under our feet. We were going to have something that nobody else has had. We got hit with COVID. We did a lot to fix it. I gave him an unbelievable situation with all of the therapeutics and all of the things that we came up with, we – we gave him something great.","S-Inform,CH",PB,,PER Start,1,,1,"S-Inform, CH",PB,,,1,,FALSE,TRUE
"Remember, more people died under his administration, even though we had largely fixed it. More people died under his administration than our administration, and we were right in the middle of it.","S-Inform,CH","ATTR,PER, ",Biden,"ATTR Start,  PER Start",1,,1,"S-Inform, CH","ATTR, PER",,"ATTR, PER start",1,,FALSE,FALSE
"Something which a lot of people don't like to talk about, but he had far more people dying in his administration.","CH,S-Inform","PER,ATTR,  AF",Biden,,1,,1,"S-Inform, CH","ATTR, PER, AF",,,1,,FALSE,FALSE
"He did the mandate, which is a disaster, mandating it. The vaccine went out. He did a mandate on the vaccine, which is the thing that people most objected to about the vaccine. And he did a very poor job, just a very poor job.","S-Inform,CH","ATTR,PER",Biden,,1,,1,"S-Inform, CH","ATTR, PER",,,1,,FALSE,FALSE
"And I will tell you, not only poor there, but throughout the entire world, we're no longer respected as a country. They don't respect our leadership. They don't respect the United States anymore.",S-Inform,"ATTR,PER,   PB",,,1,,1,"S-Inform, CH","ATTR, PER, PB",,,1,,TRUE,FALSE
"We're like a Third World nation between weaponization of his election, trying to go after his political opponent. All of the things he's done. We've become like a Third World nation, and it's a shame.","S-Inform,CH","ATTR,PER,",Biden,,1,,1,"S-Inform, CH","ATTR, PER",,,1,,FALSE,FALSE
"The damage he's done to our country – and I'd love to ask him, and will, why he allowed millions of people to come in here from prisons, jails, and mental institutions to come into our country and destroy our country.",Q-RHET,"ATTR,PER",Biden,"ATTR End, PER END",1,,1,Q-RHET,"ATTR, PER",,"ATTR, PER end",1,,TRUE,FALSE
"TAPPER: President Trump, we will get to immigration later in this block. President Biden, I want to give you an opportunity to respond to this question about the national debt.","TG,IAFA",,,,1,,1,"TG, IAFA",,,,1,,FALSE,FALSE
"BIDEN: He had the largest national debt of any president in a four-your period, number one. Number two, he – that $2 trillion tax cut benefited the very wealthy. I – what I'm going to do is fix the tax system.","CH,ANS","ATTR,PER,  SE,PB,IP",Trump,,1,,1,"ANS, CH","ATTR, PER, SE, PB, IP",,,1,,FALSE,FALSE
"For example, we have a thousand trillionaires in America – I mean, billionaires in America. And what's happening? They're in a situation where they, in fact, pay 8.2 percent in taxes. If they just paid 24 percent or 25 percent, either one of those numbers, they'd raised $500 million – billion dollars, I should say, in a 10-year period.","S-Inform,CH,   Q-RHET","SE,PB",,,1,,1,"S-Inform, CH, Q-RHET","SE, PB",,,1,,FALSE,FALSE
"We'd be able to right wipe out his debt. We'd be able to help make sure that all those things we need to do – childcare, elder care, making sure that we continue to strengthen our healthcare system, making sure that we're able to make every single solitary person eligible for what I've been able to do with the – with – with – with the COVID. Excuse me, with dealing with everything we have to do with – look, if – we finally beat Medicare.",IP,ATTR,Trump,,1,,1,IP,ATTR,,,1,,TRUE,TRUE
"TAPPER: Thank you, President Biden. President Trump?","THK,TG",,,,1,,1,"THK, TG",,,,1,,FALSE,FALSE
"TRUMP: Well, he's right. He did beat Medicare. He beat it to death. And he's destroying Medicare because all of these people are coming in, they're putting them on Medicare. They're putting them on Social Security. They're going to destroy Social Security.","ANS,CH","ATTR,PER",Biden,"ATTR,PER Start",1,,1,"ANS, CH","ATTR, PER",,"ATTR, PER start",1,,FALSE,FALSE
"This man is going to single-handedly destroy Social Security. These millions and millions of people coming in, they're trying to put them on Social Security. He will wipe out Social Security. He will wipe out Medicare. So he was right in the way he finished that sentence. And it's a shame.","S-Inform,CH","PER,SE, ATTR",Biden,,1,,1,S-Inform. CH,"SE, ATTR. PER",,,1,,FALSE,FALSE
"What's happened to our country in the last four years is not to be believed. Foreign countries, I'm friends with a lot of people. They cannot believe what happened to the United States of America. We're no longer respected. They don't like us.","S-Inform,CH","SE,ATTR,    PER",,,1,,1,S-Inform. CH,"SE, ATTR. PER",,,1,,FALSE,FALSE
"We give them everything they want, and they think we're stupid. They think we're very stupid people.","S-Inform,CH","PB,PER,   ATTR",,,1,,1,S-Inform. CH,"PB, PER, ATTR",,,1,,FALSE,FALSE
"What we're doing for other countries, and they do nothing for us. What this man has done is absolutely criminal.","S-Inform,CH","ATTR,PER,   PB",Biden,"ATTR,PER    End",1,,1,S-Inform. CH,"PB, PER, ATTR",,"ATTR, PER end",1,,FALSE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,1,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,1,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,1,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,1,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,1,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,1,THK,,,,1,,TRUE,FALSE
Dana?,TG,,,,1,,1,TG,,,,1,,TRUE,FALSE
"BASH: This is the first presidential election since the Supreme Court overturned Roe v. Wade. This morning, the court ruled on yet another abortion case, temporarily allowing emergency abortions to continue in Idaho, despite that state's restrictive ban.",S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
"Former President Trump, you take credit for the decision to overturn Roe v. Wade, which returned the issue of abortion to the states.",Q-YN,,,,1,,1,Q-YN,,,,1,,TRUE,FALSE
TRUMP: Correct.,AGR,,,,1,,,"ANS, AGR",,,,1,,TRUE,FALSE
"TRUMP: First of all, the Supreme Court just approved the abortion pill. And I agree with their decision to have done that, and I will not block it.",ANS,,,,1,,,"ANS, AGR",,,,1,,TRUE,FALSE
"And what I did is I put three great Supreme Court justices on the court, and they happened to vote in favor of killing Roe v. Wade and moving it back to the states. This is something that everybody wanted.",S-Inform,,,,1,,,S-Inform,SE,,,1,,TRUE,FALSE
"Now, 10 years ago or so, they started talking about how many weeks and how many of this are getting into other things, but every legal scholar, throughout the world, the most respected, wanted it brought back to the states. I did that.",S-Inform,,,,1,,,S-Inform,"SE, ATTR",,,1,,TRUE,FALSE
"Now the states are working it out. If you look at Ohio, it was a decision that was – it was – it was an end result that was a little bit more liberal than you would have thought. Kansas, I would say the same thing. Texas is different. Florida is different.",S-Inform,,,,1,,,S-Inform,PB,,,1,,TRUE,FALSE
"But they're all making their own decisions right now. And right now, the states control it. That's the vote of the people.",S-Inform,CB,,,1,,,S-Inform,ATTR,Opponent group,ATTR start,1,,TRUE,FALSE
"Like Ronald Reagan, I believe in the exceptions, I am a person that believes. And frankly, I think it's important to believe in the exceptions. Some people, you have to follow your heart, some people don't believe in that.",S,,,,1,,,S,"AP, ATTR",Opponent group,,1,,TRUE,FALSE
"But I believe in the exceptions for rape, incest, and the life of the mother. I think it's very important. Some people don't. Follow your heart.",S,IP,,,1,,,S,ATTR,Opponent group,,1,,TRUE,FALSE
But you have to get elected also and – because that has to do with other things. You've got to get elected.,S,,,,1,,,S,,,,1,,TRUE,FALSE
"The problem they have is they're radical because they will take the life of a child in the eighth month, the ninth month, and even after birth – after birth.",S,,,,1,,,CH,"ATTR, AF, PB",Opponent group,,1,,FALSE,FALSE
"If you look at the former governor of Virginia, he was willing to do this. He said, we'll put the baby aside and we'll determine what we do with the baby. Meaning, we'll kill the baby.",S,CBIAS,,,1,,,S-Inform,"SE, AF, ATTR",Opponent group,ATTR end,1,,FALSE,FALSE
What happened is we brought it back to the states and the country is now coming together on this issue. It's been a great thing.,S,AP,,,1,,,S,PB,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
President Biden?,TG,,,,1,,,TG,,,,,,TRUE,FALSE
President Biden?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
President Biden?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
"BIDEN: It's been a terrible thing, what you've done.",ANS,ATTR,,,1,,,CH,PER,Trump,,1,,FALSE,FALSE
"The fact is that the vast majority of constitutional scholars supported Roe when it was decided, supported Roe. And that was – that's – this idea that they were all against it is just ridiculous.",S,,,,1,,,"S-Inform, CH","ATTR, PB",Trump,,1,,FALSE,FALSE
"And this is the guy who says the states should be able to have it. We're (ph) in a state where in six weeks, you don't even know whether you're pregnant or not, but you cannot see the doctor or have your – and have him decide on what your circumstances are, whether you need help.",S,PER,,,0.9,,,CH,"PB, PER",Trump,,1,,FALSE,TRUE
"The idea that states are able to do this is a little like saying, we're going to turn civil rights back to the states. Let each state have a different rule.",S,,,,1,,,S-Inform,PB,,,1,,FALSE,FALSE
"Look, there's so many young women who have been – including a young woman who just was murdered and he – he went to the funeral. The idea that she was murdered by a – by –by an immigrant coming in, and they talk about that. But here's the deal, there's a lot of young women who are being raped by their – by their in-laws, by their – by their spouses, brothers and sisters, by – just – it's just – it's just ridiculous. And they can do nothing about it.",S,"AP,CBIAS",,,1,,,S-Inform,"AF, AE",,,1,,FALSE,FALSE
And they tried to arrest them when they cross state lines.,ANS,,,,1,,,S-Inform,PB,governers,,1,,FALSE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
"TRUMP: There have been many young women murdered by the same people he allows to come across our border. We have a border that's the most dangerous place anywhere in the world – considered the most dangerous place anywhere in the world. And he opened it up, and these killers are coming into our country. And they are raping and killing women, and it's a terrible thing.","ANS,S",,,,1,,,S-Inform,"AF, ATTR, PER, PB",,,1,,FALSE,FALSE
"As far as the abortion is concerned, it is now back with the states. The states are voting. In many cases, they – it's frankly a very liberal decision. In many cases, it's the opposite.",ANS,,,,1,,,S-Inform,PB,,,1,,FALSE,FALSE
"But they're voting. And it's bringing it back to the vote of the people, which is what everybody wanted, including the founders, if they knew about this issue, which frankly they didn't. But they would have – everybody want it brought back.",S,,,,1,,,S-Inform,PB,,,1,,FALSE,FALSE
Ronald Reagan wanted it brought back. He wasn't able to get it.,S-Inform,,,,1,,,HS,,,,1,,FALSE,FALSE
Everybody wanted it brought back and many presidents had tried to get it back. I was the one to do it.,S,AP,,,1,,,HS,,,,1,,FALSE,FALSE
"And again, this gives it the vote of the people. And that's where they wanted it. Every legal scholar wanted it that way.","EXPL , S",,,,1,,,S-Inform,,,,1,,FALSE,FALSE
"BASH: Staying on the topic of abortion, President Biden. Seven states –",TT,,,,1,,,TT,,,,1,,TRUE,FALSE
BIDEN: [off-mike],TT,,,,1,,,,,,,1,,FALSE,FALSE
BASH: I'll let you do that. This is the same topic.,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
Seven states have no legal restrictions on how far into a pregnancy a woman can obtain an abortion. Do you support any legal limits on how late a woman should be able to terminate a pregnancy?,Q-OQ,,,,1,,,Q-OQ,,,,1,,TRUE,FALSE
"BIDEN: I supported Roe v. Wade, which had three trimesters. First time is between a woman and a doctor. Second time is between the doctor and an extreme situation. And a third time is between the doctor – I mean, it'd be between the woman and the state.",ANS,PB,,,1,,,ANS,PB,,,1,,TRUE,TRUE
The idea that the politicians – that the founders wanted the politicians to be the ones making decisions about women's health is ridiculous. That's the last – no politician should be making that decision.,S-Inform,,,,1,,,S-Inform,PB,,,1,,TRUE,FALSE
A doctor should be making those decisions. That's how it should be run. That's what you're going to do.,S,,,,1,,,S,,,,1,,TRUE,FALSE
"And if I'm elected, I'm going to restore Roe v. Wade.",S-Inform,IP,,,1,,,S-Inform,IP,,,1,,TRUE,TRUE
"TRUMP: So that means he can take the life of the baby in the ninth month and even after birth, because some states – Democrat-run – take it after birth. Again, the governor – former governor of Virginia: put the baby down, then we decide what to do with it.",CH,,,,1,,,"CH, HS","REB, ATTR, PB, PER. AF",Biden,,1,,TRUE,FALSE
"So he's in – he's willing to, as we say, rip the baby out of the womb in the ninth month and kill the baby.",CH,"REB,ATTR",,,1,,,CH,"REB, ATTR, PB, PER, AF",Biden,,1,,TRUE,FALSE
Nobody wants that to happen. Democrat –,S-Inform,,,,1,,,S-Inform,PB,Biden,,1,,TRUE,FALSE
BIDEN: [off-mike] No.,DIS,,,,1,,,DIS,,Biden,,1,,TRUE,FALSE
"TRUMP: – or Republican, nobody wants it to happen.",S-Inform,PB,Biden,,1,,,S-Inform,PB,Biden,,1,,TRUE,TRUE
BIDEN: [off-mike] You're lying.,"DIS,CH",REB,Trump,,1,,,"DIS, CH",REB,Trump,,1,,FALSE,TRUE
"That is simply not true. That Roe v. Wade does not provide for that. That's not the circumstance. Only when the woman's life is in danger, if she's going to die – that's the only circumstance in which that can happen.",CORR,"REB,AF",,,1,,,"CH, CORR","REB, SE, AF",,,1,,TRUE,FALSE
"But we are not for late term abortion, period – period, period.",CORR,,,,0.9,,,CORR,,,,1,,TRUE,FALSE
"TRUMP: Under Roe v. Wade, you have late term abortion. You can do whatever you want, depending on the state. You can do whatever you want. We don't think that's a good thing. We think it's a radical thing.",CH,REB,,,1,,,CH,"REB, ATTR",Biden,,1,,TRUE,TRUE
"We think the Democrats are the radicals, not the Republicans.",S,ATTR,,,1,,,S,"PB, ATTR",opponent group,,1,,TRUE,TRUE
"BIDEN: For 51 years, that was the law. Fifty-one years, Constitutional Scholarship said it was the right way to go. Fifty-one years, and it was taken away because this guy put very conservative members on the Supreme Court. He takes credit for taking it away.",S,"ATTR,PER",Trump,,1,,,"HS, S-Inform","REB, ATTR, PB",Trump,,1,,FALSE,FALSE
"What's he going to do? What's he going to do, in fact, if – if the MAGA Republicans – he gets elected and the MAGA Republicans control of the Congress and they pass a universal ban on abortion, period, across the board, at six weeks, or seven, or eight or ten weeks, something very, very conservative. Is he going to sign that bill?",Q-RHET,,,,1,,,"Q-RHET, CH","PB, ATTR",Trump and opponent group,,1,,TRUE,FALSE
I'll veto it. He'll sign it.,S,,,,1,,,S,IP,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,,,,THK,,,,1,,TRUE,FALSE
TRUMP: [off-mike],,,,,,,,,,,,1,,FALSE,FALSE
"TAPPER: Let's turn now to the issue of immigration and border security. President Biden, a record number of migrants have illegally crossed the southern border on your watch, overwhelming border states and overburdening cities such as New York and Chicago, and in some cases causing real safety and security concerns. Given that, why should voters trust you to solve this crisis?","Q-OQ,TT",,,,1,,,"TT, TG, Q-OQ",,,,1,,FALSE,FALSE
